CustomerID,CheckingAccountBalance,DebtsPaid,SavingsAccountBalance,CurrentOpenLoanApplications,LoanPayoffPeriodInMonths,LoanReason,RequestedAmount,InterestRate,Co-Applicant,WasTheLoanApproved,YearsAtCurrentEmployer,YearsInCurrentResidence,Age,RentOrOwnHome,TypeOfCurrentEmployment,NumberOfDependantsIncludingSelf
345,some,paid,none,1,24,auto,2760,4,none,Y,10+,4,36,free,skilled,1
243,some,delayed,some,1,12,goods,1424,4,none,Y,7,3,26,owned,skilled,1
662,debt,delayed,some,2,20,goods,4272,1,none,Y,10+,4,24,owned,skilled,1
102,none,paid,high,1,6,goods,2978,1,none,Y,4,2,32,owned,skilled,1
722,none,delayed,some,2,36,auto,6614,4,none,Y,10+,4,34,owned,self,1
316,none,paid,none,1,30,goods,1867,4,none,Y,10+,4,58,owned,skilled,1
236,none,delayed,none,2,30,goods,6742,2,none,Y,7,3,36,owned,skilled,1
572,debt,paid,some,1,36,auto,3249,2,none,Y,7,4,39,free,self,2
436,none,delayed,medium,2,24,goods,4151,2,none,Y,4,3,35,owned,skilled,1
338,none,delayed,none,2,48,busin,7629,4,none,Y,10+,2,46,owned,self,2
499,debt,paid,some,1,24,auto,2924,3,guarant,Y,4,4,63,owned,skilled,2
570,none,delayed,none,2,24,auto,6842,2,none,Y,4,4,46,owned,self,2
473,debt,paid,some,1,18,goods,2389,4,none,Y,1,1,27,owned,skilled,1
89,some,delayed,v.high,2,11,auto,1322,4,none,Y,4,4,40,owned,skilled,1
183,debt,paid,some,1,48,goods,3051,3,none,N,4,4,54,owned,skilled,1
222,debt,paid,some,1,12,auto,759,4,none,N,7,2,26,owned,skilled,1
289,debt,paid,some,1,12,goods,1657,2,none,Y,4,2,27,owned,skilled,1
165,none,delayed,some,2,30,goods,5771,4,none,Y,7,2,25,owned,skilled,1
268,debt,paid,some,1,24,auto,2303,4,co-app,N,10+,1,45,owned,skilled,1
218,debt,paid,some,1,15,auto,2511,1,none,Y,0,4,23,rent,skilled,1
327,none,delayed,some,2,6,auto,6761,1,none,Y,7,3,45,owned,self,2
283,high,delayed,some,1,6,goods,683,2,none,Y,1,1,29,owned,skilled,1
240,none,delayed,none,2,12,school,3565,2,none,Y,1,1,37,owned,unskill,2
